"REF_DATE","GEO","DGUID","Companies","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1986","Canada","2016A000011124","VIA Rail","Transportation services, averages, freight carload","Tonnes","287","units ","0","v20682009","1.4.12","0.0","","","","1"
"1986","Canada","2016A000011124","VIA Rail","Transportation services, averages, empty freight car-kilometres","Percent","239","units ","0","v20682010","1.4.13","0.0","","","","1"
"1986","Canada","2016A000011124","VIA Rail","Transportation services, averages, freight train speed","Kilometres per hour","197","units ","0","v20682011","1.4.14","0.0","","","","1"
"1986","Canada","2016A000011124","Regional railways","Revenue freight, tonnes","Number","223","thousands","3","v20682020","1.5.1","85214","","","","0"
"1986","Canada","2016A000011124","Regional railways","Revenue freight, tonne-kilometres","Number","223","thousands","3","v20682026","1.5.2","23406551","","","","0"
"1986","Canada","2016A000011124","Regional railways","Revenue freight, average haul on each railway","Kilometres","196","units ","0","v20682027","1.5.3","275","","","","0"
"1986","Canada","2016A000011124","Regional railways","Revenue and non-revenue freight, tonnes","Number","223","thousands","3","v20682028","1.5.4","85686","","","","0"
"1986","Canada","2016A000011124","Regional railways","Revenue and non-revenue freight, tonne-kilometres","Number","223","thousands","3","v20682029","1.5.5","23453884","","","","0"
"1986","Canada","2016A000011124","Regional railways","Revenue and non-revenue freight, average haul on each railway","Kilometres","196","units ","0","v20682030","1.5.6","274","","","","0"
"1986","Canada","2016A000011124","Regional railways","Revenue passengers, passengers","Number","223","thousands","3","v20682031","1.5.7","505","","","","0"
"1986","Canada","2016A000011124","Regional railways","Revenue passengers, passenger-kilometres","Number","223","thousands","3","v20682032","1.5.8","138308","","","","0"
"1986","Canada","2016A000011124","Regional railways","Revenue passengers, average passenger journey per ticket","Kilometres","196","units ","0","v20682033","1.5.9","274","","","","0"
"1986","Canada","2016A000011124","Regional railways","Transportation services, averages, cars per freight train","Number","223","units ","0","v20682021","1.5.10","87.0","","","","1"
"1986","Canada","2016A000011124","Regional railways","Transportation services, averages, cars per passenger train","Number","223","units ","0","v20682022","1.5.11","3.8","","","","1"
"1986","Canada","2016A000011124","Regional railways","Transportation services, averages, freight carload","Tonnes","287","units ","0","v20682023","1.5.12","74.2","","","","1"
"1986","Canada","2016A000011124","Regional railways","Transportation services, averages, empty freight car-kilometres","Percent","239","units ","0","v20682024","1.5.13","43.7","","","","1"
"1986","Canada","2016A000011124","Regional railways","Transportation services, averages, freight train speed","Kilometres per hour","197","units ","0","v20682025","1.5.14","21.9","","","","1"
"1987","Canada","2016A000011124","Total companies","Revenue freight, tonnes","Number","223","thousands","3","v20681964","1.1.1","290461","","","","0"
"1987","Canada","2016A000011124","Total companies","Revenue freight, tonne-kilometres","Number","223","thousands","3","v20681970","1.1.2","267479657","","","","0"
"1987","Canada","2016A000011124","Total companies","Revenue freight, average haul on each railway","Kilometres","196","units ","0","v20681971","1.1.3","921","","","","0"
"1987","Canada","2016A000011124","Total companies","Revenue and non-revenue freight, tonnes","Number","223","thousands","3","v20681972","1.1.4","295892","","","","0"
"1987","Canada","2016A000011124","Total companies","Revenue and non-revenue freight, tonne-kilometres","Number","223","thousands","3","v20681973","1.1.5","271802450","","","","0"
"1987","Canada","2016A000011124","Total companies","Revenue and non-revenue freight, average haul on each railway","Kilometres","196","units ","0","v20681974","1.1.6","919","","","","0"
"1987","Canada","2016A000011124","Total companies","Revenue passengers, passengers","Number","223","thousands","3","v20681975","1.1.7","6366","","","","0"
"1987","Canada","2016A000011124","Total companies","Revenue passengers, passenger-kilometres","Number","223","thousands","3","v20681976","1.1.8","2230936","","","","0"
"1987","Canada","2016A000011124","Total companies","Revenue passengers, average passenger journey per ticket","Kilometres","196","units ","0","v20681977","1.1.9","350","","","","0"
"1987","Canada","2016A000011124","Total companies","Transportation services, averages, cars per freight train","Number","223","units ","0","v20681965","1.1.10","76.1","","","","1"
"1987","Canada","2016A000011124","Total companies","Transportation services, averages, cars per passenger train","Number","223","units ","0","v20681966","1.1.11","5.4","","","","1"
"1987","Canada","2016A000011124","Total companies","Transportation services, averages, freight carload","Tonnes","287","units ","0","v20681967","1.1.12","57.8","","","","1"
"1987","Canada","2016A000011124","Total companies","Transportation services, averages, empty freight car-kilometres","Percent","239","units ","0","v20681968","1.1.13","39.5","","","","1"
"1987","Canada","2016A000011124","Total companies","Transportation services, averages, freight train speed","Kilometres per hour","197","units ","0","v20681969","1.1.14","36.2","","","","1"
"1987","Canada","2016A000011124","Canadian National","Revenue freight, tonnes","Number","223","thousands","3","v20681978","1.2.1","111695","","","","0"
"1987","Canada","2016A000011124","Canadian National","Revenue freight, tonne-kilometres","Number","223","thousands","3","v20681984","1.2.2","136498713","","","","0"
"1987","Canada","2016A000011124","Canadian National","Revenue freight, average haul on each railway","Kilometres","196","units ","0","v20681985","1.2.3","1222","","","","0"
"1987","Canada","2016A000011124","Canadian National","Revenue and non-revenue freight, tonnes","Number","223","thousands","3","v20681986","1.2.4","113822","","","","0"
"1987","Canada","2016A000011124","Canadian National","Revenue and non-revenue freight, tonne-kilometres","Number","223","thousands","3","v20681987","1.2.5","139038191","","","","0"
"1987","Canada","2016A000011124","Canadian National","Revenue and non-revenue freight, average haul on each railway","Kilometres","196","units ","0","v20681988","1.2.6","1222","","","","0"
"1987","Canada","2016A000011124","Canadian National","Revenue passengers, passengers","Number","223","thousands","3","v20681989","1.2.7","0","","","","0"
"1987","Canada","2016A000011124","Canadian National","Revenue passengers, passenger-kilometres","Number","223","thousands","3","v20681990","1.2.8","0","","","","0"
"1987","Canada","2016A000011124","Canadian National","Revenue passengers, average passenger journey per ticket","Kilometres","196","units ","0","v20681991","1.2.9","0","","","","0"
"1987","Canada","2016A000011124","Canadian National","Transportation services, averages, cars per freight train","Number","223","units ","0","v20681979","1.2.10","78.2","","","","1"
"1987","Canada","2016A000011124","Canadian National","Transportation services, averages, cars per passenger train","Number","223","units ","0","v20681980","1.2.11","0.0","","","","1"
"1987","Canada","2016A000011124","Canadian National","Transportation services, averages, freight carload","Tonnes","287","units ","0","v20681981","1.2.12","55.1","","","","1"
"1987","Canada","2016A000011124","Canadian National","Transportation services, averages, empty freight car-kilometres","Percent","239","units ","0","v20681982","1.2.13","39.0","","","","1"
"1987","Canada","2016A000011124","Canadian National","Transportation services, averages, freight train speed","Kilometres per hour","197","units ","0","v20681983","1.2.14","35.6","","","","1"
"1987","Canada","2016A000011124","Canadian Pacific","Revenue freight, tonnes","Number","223","thousands","3","v20681992","1.3.1","90804","","","","0"
"1987","Canada","2016A000011124","Canadian Pacific","Revenue freight, tonne-kilometres","Number","223","thousands","3","v20681998","1.3.2","107975110","","","","0"
"1987","Canada","2016A000011124","Canadian Pacific","Revenue freight, average haul on each railway","Kilometres","196","units ","0","v20681999","1.3.3","1189","","","","0"
"1987","Canada","2016A000011124","Canadian Pacific","Revenue and non-revenue freight, tonnes","Number","223","thousands","3","v20682000","1.3.4","93855","","","","0"
"1987","Canada","2016A000011124","Canadian Pacific","Revenue and non-revenue freight, tonne-kilometres","Number","223","thousands","3","v20682001","1.3.5","109719111","","","","0"
"1987","Canada","2016A000011124","Canadian Pacific","Revenue and non-revenue freight, average haul on each railway","Kilometres","196","units ","0","v20682002","1.3.6","1169","","","","0"
"1987","Canada","2016A000011124","Canadian Pacific","Revenue passengers, passengers","Number","223","thousands","3","v20682003","1.3.7","0","","","","0"
"1987","Canada","2016A000011124","Canadian Pacific","Revenue passengers, passenger-kilometres","Number","223","thousands","3","v20682004","1.3.8","0","","","","0"
"1987","Canada","2016A000011124","Canadian Pacific","Revenue passengers, average passenger journey per ticket","Kilometres","196","units ","0","v20682005","1.3.9","0","","","","0"
"1987","Canada","2016A000011124","Canadian Pacific","Transportation services, averages, cars per freight train","Number","223","units ","0","v20681993","1.3.10","73.0","","","","1"
"1987","Canada","2016A000011124","Canadian Pacific","Transportation services, averages, cars per passenger train","Number","223","units ","0","v20681994","1.3.11","0.0","","","","1"
"1987","Canada","2016A000011124","Canadian Pacific","Transportation services, averages, freight carload","Tonnes","287","units ","0","v20681995","1.3.12","58.6","","","","1"
"1987","Canada","2016A000011124","Canadian Pacific","Transportation services, averages, empty freight car-kilometres","Percent","239","units ","0","v20681996","1.3.13","39.2","","","","1"
"1987","Canada","2016A000011124","Canadian Pacific","Transportation services, averages, freight train speed","Kilometres per hour","197","units ","0","v20681997","1.3.14","40.3","","","","1"
"1987","Canada","2016A000011124","VIA Rail","Revenue freight, tonnes","Number","223","thousands","3","v20682006","1.4.1","0","","","","0"
"1987","Canada","2016A000011124","VIA Rail","Revenue freight, tonne-kilometres","Number","223","thousands","3","v20682012","1.4.2","0","","","","0"
"1987","Canada","2016A000011124","VIA Rail","Revenue freight, average haul on each railway","Kilometres","196","units ","0","v20682013","1.4.3","0","","","","0"
"1987","Canada","2016A000011124","VIA Rail","Revenue and non-revenue freight, tonnes","Number","223","thousands","3","v20682014","1.4.4","0","","","","0"
"1987","Canada","2016A000011124","VIA Rail","Revenue and non-revenue freight, tonne-kilometres","Number","223","thousands","3","v20682015","1.4.5","0","","","","0"
"1987","Canada","2016A000011124","VIA Rail","Revenue and non-revenue freight, average haul on each railway","Kilometres","196","units ","0","v20682016","1.4.6","0","","","","0"
"1987","Canada","2016A000011124","VIA Rail","Revenue passengers, passengers","Number","223","thousands","3","v20682017","1.4.7","5866","","","","0"
"1987","Canada","2016A000011124","VIA Rail","Revenue passengers, passenger-kilometres","Number","223","thousands","3","v20682018","1.4.8","2092623","","","","0"
"1987","Canada","2016A000011124","VIA Rail","Revenue passengers, average passenger journey per ticket","Kilometres","196","units ","0","v20682019","1.4.9","357","","","","0"
"1987","Canada","2016A000011124","VIA Rail","Transportation services, averages, cars per freight train","Number","223","units ","0","v20682007","1.4.10","0.0","","","","1"
"1987","Canada","2016A000011124","VIA Rail","Transportation services, averages, cars per passenger train","Number","223","units ","0","v20682008","1.4.11","5.5","","","","1"
"1987","Canada","2016A000011124","VIA Rail","Transportation services, averages, freight carload","Tonnes","287","units ","0","v20682009","1.4.12","0.0","","","","1"
"1987","Canada","2016A000011124","VIA Rail","Transportation services, averages, empty freight car-kilometres","Percent","239","units ","0","v20682010","1.4.13","0.0","","","","1"
"1987","Canada","2016A000011124","VIA Rail","Transportation services, averages, freight train speed","Kilometres per hour","197","units ","0","v20682011","1.4.14","0.0","","","","1"
"1987","Canada","2016A000011124","Regional railways","Revenue freight, tonnes","Number","223","thousands","3","v20682020","1.5.1","87962","","","","0"
"1987","Canada","2016A000011124","Regional railways","Revenue freight, tonne-kilometres","Number","223","thousands","3","v20682026","1.5.2","23005835","","","","0"
"1987","Canada","2016A000011124","Regional railways","Revenue freight, average haul on each railway","Kilometres","196","units ","0","v20682027","1.5.3","262","","","","0"
"1987","Canada","2016A000011124","Regional railways","Revenue and non-revenue freight, tonnes","Number","223","thousands","3","v20682028","1.5.4","88215","","","","0"
"1987","Canada","2016A000011124","Regional railways","Revenue and non-revenue freight, tonne-kilometres","Number","223","thousands","3","v20682029","1.5.5","23045148","","","","0"
"1987","Canada","2016A000011124","Regional railways","Revenue and non-revenue freight, average haul on each railway","Kilometres","196","units ","0","v20682030","1.5.6","261","","","","0"
"1987","Canada","2016A000011124","Regional railways","Revenue passengers, passengers","Number","223","thousands","3","v20682031","1.5.7","500","","","","0"
